source_id,primary_level,usage_label,status,license,raw_format,raw_files,raw_size_bytes,extracted_files,extracted_size_bytes,primary_source,notes
chemu_2020,A,raw_material,downloaded,CC BY-NC 3.0,"pdf,zip,txt",9,4110914,222,202006,https://data.mendeley.com/datasets/wy6745bjfj/2,"Patent IE corpus; useful for reagent roles and reaction description, but needs benchmark reframing."
choriso,A,raw_material,downloaded,CC BY 4.0,"tar.gz",3,630692320,5,3506113509,https://figshare.com/articles/dataset/CHORISO_-_chemical_reaction_SMILES_from_academic_journals/22598230,"Reaction prediction and selectivity source; best used as re-annotation material for Level A."
pmechdb,A,A,downloaded,CC BY-NC-ND 4.0,"html,zip",2,7752148,5,72126253,https://deeprxn.ics.uci.edu/pmechdb/download,"Direct mechanistic source for Level A; bulk data obtained via official form POST workflow."
rmechdb,A,A,blocked,CC BY-NC-ND 4.0,"request_form",0,0,0,0,https://deeprxn.igb.uci.edu/rmechdb/download,"Direct Level A source, but official workflow is request form plus email delivery."
uspto_50k,A,A,downloaded,CC BY 4.0,csv,3,20542486,0,0,https://zenodo.org/records/8114657,"Direct Level A source for reaction classification; can support structured reaction understanding tasks."
uspto_llm,A,raw_material,downloaded,CC BY 4.0,"zip,md",3,702148927,14,15340765768,https://zenodo.org/records/14396156,"Information-enriched reaction dataset; useful as raw material because labels are LLM-assisted and task framing is mixed."
weave2,A,raw_material,downloaded,Unknown,"zip",1,1261146,66,5553703,https://zenodo.org/records/8386296,"Procedural patent IE corpus; useful for reaction description and reagent-role extraction, but not a direct benchmark."
lowe_uspto,B,raw_material,downloaded,CC0,"7z,zip",3,162790816,4,1695809051,https://figshare.com/articles/dataset/Chemical_reactions_from_US_patents_1976-Sep2016_/5104873,"Core raw reaction corpus; best used for custom Level B curation, deduplication, and split control."
orderly,B,B,downloaded,CC BY 4.0,"parquet,zip",4,576739002,16,3778323,https://figshare.com/articles/dataset/ORDerly_benchmarks_of_chemical_reactions/23298467,"Direct open one-step retrosynthesis benchmark for Level B."
paroutes,B,B,downloaded,Apache-2.0,zip,1,1591829,38,3307160,https://github.com/MolecularAI/PaRoutes,"Direct Level B ecosystem source; current local artifact is the repository snapshot and downloader scripts."
ord,shared,raw_material,downloaded,"CC BY-SA 4.0 data; Apache-2.0 code",zip,1,1175492752,559,1176044355,https://github.com/Open-Reaction-Database/ord-data,"Structured reaction record store; useful as raw material for both A and B."
pistachio,none,raw_material,blocked,Commercial,none,0,0,0,0,https://nextmovesoftware.com/blog/2021/03/24/13118970-reactions-and-counting/,"Commercial source, not downloaded."
reaxys,none,raw_material,blocked,Commercial,none,0,0,0,0,https://www.elsevier.support/reaxys/answer/retrosynthesis-workflow,"Commercial source, not downloaded."
